time,crack_1,crack_2,crack_3
2025/3/27 2:30,48.2,38.19,42.21
2025/3/27 2:40,48.21,38.2,42.21
2025/3/27 2:50,48.21,38.2,42.21
2025/3/27 3:00,48.22,38.21,42.21
2025/3/27 3:10,48.22,38.21,42.22
2025/3/27 3:20,48.21,38.21,42.21
2025/3/27 3:30,48.21,38.21,42.21
2025/3/27 3:40,48.21,38.2,42.2
2025/3/27 3:50,48.19,38.18,42.19
2025/3/27 4:00,48.18,38.18,42.19
2025/3/27 4:10,48.18,38.18,42.2
2025/3/27 4:20,48.19,38.19,42.21
2025/3/27 4:30,48.21,38.2,42.22
2025/3/27 4:40,48.21,38.21,42.23
2025/3/27 4:50,48.22,38.23,42.22
2025/3/27 5:00,48.22,38.21,42.22
2025/3/27 5:10,48.2,38.2,42.21
2025/3/27 5:20,48.19,38.2,42.21
2025/3/27 5:30,48.21,38.21,42.21
2025/3/27 5:40,48.22,38.23,42.23
2025/3/27 5:50,48.22,38.24,42.24
2025/3/27 6:00,48.22,38.24,42.24
2025/3/27 6:10,48.22,38.23,42.23
2025/3/27 6:20,48.21,38.23,42.22
2025/3/27 6:30,48.21,38.21,42.22
2025/3/27 6:40,48.2,38.21,42.22
2025/3/27 6:50,48.2,38.21,42.22
2025/3/27 7:00,48.19,38.2,42.21
2025/3/27 7:10,48.19,38.19,42.21
2025/3/27 7:20,48.18,38.18,42.21
2025/3/27 7:30,48.17,38.18,42.19
2025/3/27 7:40,48.17,38.19,42.18
2025/3/27 7:50,48.16,38.17,42.17
2025/3/27 8:00,48.15,38.18,42.17
2025/3/27 8:10,48.13,38.13,42.14
2025/3/27 8:20,48.12,38.12,42.12
2025/3/27 8:30,48.13,38.14,42.13
2025/3/27 8:40,48.15,38.16,42.14
2025/3/27 8:50,48.16,38.18,42.16
2025/3/27 9:00,48.15,38.16,42.17
2025/3/27 9:10,48.14,38.18,42.17
2025/3/27 9:20,48.12,38.12,42.15
2025/3/27 9:30,48.08,38.08,42.13
2025/3/27 9:40,48.05,38.03,42.1
2025/3/27 9:50,48,37.96,42.06
2025/3/27 10:00,48.02,38.02,42.03
2025/3/27 10:10,48.02,38.01,42.04
2025/3/27 10:20,47.94,37.94,41.98
2025/3/27 10:30,47.9,37.85,41.9
2025/3/27 11:00,47.85,37.8,41.85
2025/3/27 11:10,47.95,37.9,41.96
2025/3/27 11:20,48.01,37.96,42.03
2025/3/27 11:30,48.03,38,42.06
2025/3/27 11:40,48.06,38.06,42.1
2025/3/27 11:50,48.08,38.05,42.12
2025/3/27 12:00,48.1,38.09,42.14
2025/3/27 12:10,48.05,38.02,42.1
2025/3/27 12:20,47.97,37.95,42
2025/3/27 12:30,48.02,38.02,42.06
2025/3/27 12:40,48.1,38.1,42.18
2025/3/27 12:50,48.18,38.19,42.23
2025/3/27 13:00,48.23,38.25,42.28
2025/3/27 13:10,48.26,38.35,42.31
2025/3/27 13:20,48.29,38.36,42.32
2025/3/27 13:30,48.36,38.43,42.35
2025/3/27 13:40,48.61,38.6,42.46
2025/3/27 13:50,48.73,38.76,42.55
2025/3/27 14:00,48.79,38.8,42.6
2025/3/27 14:10,48.85,38.94,42.69
2025/3/27 14:20,48.88,39.04,42.75
2025/3/27 14:30,48.87,39.03,42.76
2025/3/27 14:40,48.92,39.03,42.82
2025/3/27 14:50,48.91,38.98,42.85
2025/3/27 15:00,48.91,39.01,42.82
2025/3/27 15:10,48.94,39.02,42.91
2025/3/27 15:20,48.97,39.02,42.99
2025/3/27 15:30,48.96,39,42.96
2025/3/27 15:40,48.92,38.96,42.92
2025/3/27 15:50,48.87,38.92,42.89
2025/3/27 16:00,48.83,38.87,42.82
2025/3/27 16:10,48.82,38.89,42.81
2025/3/27 16:20,48.83,38.91,42.82
2025/3/27 16:30,48.84,38.93,42.84
2025/3/27 16:40,48.86,38.97,42.84
2025/3/27 16:50,48.85,39,42.85
2025/3/27 17:00,48.83,38.98,42.85
2025/3/27 17:10,48.8,38.95,42.82
2025/3/28 9:00,48.59,38.81,42.26
2025/3/28 9:10,48.58,38.83,42.25
2025/3/28 9:20,48.58,38.81,42.26
2025/3/28 9:30,48.55,38.75,42.18
2025/3/28 9:40,48.53,38.71,42.08
2025/3/28 9:50,48.48,38.65,41.98
2025/3/28 10:00,48.51,38.71,42.03
2025/3/28 10:10,48.48,38.69,41.95
2025/3/28 10:20,48.46,38.65,41.92
2025/3/28 10:30,48.45,38.68,41.83
2025/3/28 10:40,48.44,38.61,41.68
2025/3/28 10:50,48.45,38.62,41.63
2025/3/28 11:00,48.43,38.61,41.69
2025/3/28 11:10,48.42,38.58,41.62
2025/3/28 11:20,48.37,38.54,41.61
2025/3/28 11:30,48.44,38.64,41.72
2025/3/28 11:40,48.42,38.6,41.61
2025/3/28 11:50,48.39,38.57,41.52
2025/3/28 12:00,48.34,38.51,41.59
2025/3/28 12:10,48.29,38.45,41.64
2025/3/28 12:20,48.26,38.4,41.66
2025/3/28 12:30,48.23,38.35,41.57
2025/3/28 12:40,48.17,38.28,41.59
2025/3/28 12:50,48.12,38.24,41.8
2025/3/28 13:00,48.12,38.26,41.82
2025/3/28 13:10,48.11,38.21,41.85
2025/3/28 13:20,48.12,38.23,41.93
2025/3/28 13:30,48.03,38.17,41.92
2025/3/28 13:40,47.9,38.08,41.86
2025/3/28 13:50,47.84,37.96,41.85
2025/3/28 14:00,47.74,37.78,41.78
2025/3/28 14:10,47.85,37.92,41.86
2025/3/28 14:20,47.9,37.94,41.91
2025/3/28 14:30,47.8,37.84,41.9
2025/3/28 14:40,47.88,37.96,41.87
2025/3/28 14:50,47.9,37.94,41.89
2025/3/28 15:00,47.96,38.02,41.94
2025/3/28 15:10,48.02,38.08,42
2025/3/28 15:20,48.09,38.14,42.02
2025/3/28 15:30,48.15,38.18,42.06
2025/3/28 15:40,48.06,38.08,42.09
2025/3/28 15:50,48.07,38.1,42.06
2025/3/28 16:00,48.14,38.18,42.07
2025/3/28 16:10,48.18,38.23,42.13
2025/3/28 16:20,48.18,38.21,42.12
2025/3/28 16:30,48.14,38.18,42.12
2025/3/28 16:40,48.09,38.13,42.1
2025/3/28 16:50,48.09,38.12,42.12
2025/3/28 17:00,48.13,38.17,42.15
2025/3/28 17:10,48.18,38.21,42.19
2025/3/28 17:20,48.23,38.28,42.2
2025/3/28 17:30,48.26,38.31,42.22
2025/3/28 17:40,48.26,38.29,42.23
2025/3/28 17:50,48.25,38.3,42.24
2025/3/28 18:00,48.28,38.35,42.26
2025/3/28 18:10,48.31,38.37,42.27
2025/3/28 18:20,48.33,38.39,42.28
2025/3/28 18:30,48.34,38.4,42.29
2025/3/28 18:40,48.37,38.48,42.32
2025/3/28 18:50,48.39,38.48,42.35
2025/3/28 19:00,48.41,38.51,42.36
2025/3/28 19:10,48.43,38.52,42.38
