time,settlement_1,settlement_2,settlement_3,settlement_4
2025/3/27 0:00,36.94,33.13,37.84,30.1
2025/3/27 0:10,36.94,33.13,37.92,30.1
2025/3/27 0:20,36.94,33.13,37.84,30.1
2025/3/27 0:30,36.94,33.07,37.88,29.86
2025/3/27 0:40,36.92,33.11,37.86,29.86
2025/3/27 0:50,36.92,33.09,37.84,29.72
2025/3/27 1:00,36.92,32.88,37.8,29.64
2025/3/27 1:10,36.9,32.86,37.82,29.66
2025/3/27 1:20,36.88,32.7,37.76,29.64
2025/3/27 1:30,36.88,32.84,37.78,29.66
2025/3/27 1:40,36.86,32.82,37.76,29.64
2025/3/27 1:50,36.82,32.78,37.68,29.62
2025/3/27 2:00,36.8,32.78,37.74,29.6
2025/3/27 2:10,36.8,32.76,37.74,29.62
2025/3/27 2:20,36.8,32.78,37.74,29.64
2025/3/27 2:30,36.8,32.76,37.74,29.62
2025/3/27 2:40,36.78,32.76,37.74,29.62
2025/3/27 2:50,36.78,32.68,37.72,29.6
2025/3/27 3:00,36.78,32.74,37.74,29.62
2025/3/27 3:10,36.78,32.76,37.74,29.62
2025/3/27 3:20,36.78,32.76,37.74,29.62
2025/3/27 3:30,36.78,32.76,37.74,29.6
2025/3/27 3:40,36.78,32.78,37.76,29.64
2025/3/27 3:50,36.63,32.66,37.76,29.64
2025/3/27 4:00,36.63,32.66,37.76,29.64
2025/3/27 4:10,36.63,32.66,37.76,29.64
2025/3/27 4:20,36.63,32.64,37.76,29.64
2025/3/27 4:30,36.63,32.64,37.74,29.64
2025/3/27 4:40,36.63,32.64,37.74,29.62
2025/3/27 4:50,36.63,32.64,37.74,29.62
2025/3/27 5:00,36.63,32.64,37.76,29.64
2025/3/27 5:10,36.63,32.66,37.76,29.64
2025/3/27 5:20,36.63,32.62,37.74,29.62
2025/3/27 5:30,36.63,32.6,37.7,29.56
2025/3/27 5:40,36.63,32.64,37.74,29.62
2025/3/27 5:50,36.61,32.64,37.74,29.62
2025/3/27 6:00,36.63,32.64,37.74,29.62
2025/3/27 6:10,36.63,32.62,37.7,29.6
2025/3/27 6:20,36.63,32.54,37.74,29.62
2025/3/27 6:30,36.63,32.64,37.7,29.6
2025/3/27 6:40,36.63,32.64,37.74,29.64
2025/3/27 6:50,36.63,32.6,37.74,29.58
2025/3/27 7:00,36.63,32.64,37.76,29.64
2025/3/27 7:10,36.63,32.66,37.76,29.66
2025/3/27 7:20,36.63,32.66,37.76,29.66
2025/3/27 7:30,36.65,32.66,37.76,29.66
2025/3/27 7:40,36.65,32.68,37.78,29.66
2025/3/27 7:50,36.67,32.68,37.78,29.66
2025/3/27 8:00,36.67,32.68,37.8,29.64
2025/3/27 8:10,36.69,32.7,37.8,29.68
2025/3/27 8:20,36.69,32.68,37.78,29.68
2025/3/27 8:30,36.69,32.7,37.78,29.66
2025/3/27 8:40,36.67,32.7,37.78,29.66
2025/3/27 8:50,36.67,32.62,37.72,29.6
2025/3/27 9:00,36.65,32.66,37.78,29.66
2025/3/27 9:10,36.65,32.64,37.76,29.68
2025/3/27 9:20,36.67,32.68,37.76,29.68
2025/3/27 9:30,36.67,32.62,37.76,29.7
2025/3/27 9:40,36.69,32.66,37.84,29.74
2025/3/27 9:50,36.71,32.74,37.88,29.76
2025/3/27 10:00,36.76,32.76,37.86,29.78
2025/3/27 10:10,36.73,32.66,37.86,29.72
2025/3/27 10:20,36.78,32.68,37.88,29.78
2025/3/27 10:30,36.82,32.8,37.96,29.82
2025/3/27 11:00,36.92,32.82,37.98,29.88
2025/3/27 11:10,36.86,32.78,37.92,29.8
2025/3/27 11:20,36.82,32.64,37.88,29.78
2025/3/27 11:30,36.78,32.7,37.86,29.78
2025/3/27 11:40,36.76,32.44,37.72,29.68
2025/3/27 11:50,36.69,32.74,37.82,29.54
2025/3/27 12:00,36.69,32.7,37.8,29.54
2025/3/27 12:10,36.73,32.74,37.88,29.58
2025/3/27 12:20,36.82,32.76,37.88,29.62
2025/3/27 12:30,36.63,32.7,37.84,29.56
2025/3/27 12:40,36.65,32.44,37.76,29.5
2025/3/27 12:50,36.63,32.54,37.74,29.44
2025/3/27 13:00,36.59,32.48,37.7,29.44
2025/3/27 13:10,36.57,32.3,37.62,29.4
2025/3/27 13:20,36.55,32.34,37.56,29.36
2025/3/27 13:30,36.51,32.32,37.46,29.19
2025/3/27 13:40,36.45,32.24,37.38,29.15
2025/3/27 13:50,36.32,32.12,37.22,29.05
2025/3/27 14:00,36.2,31.9,37.18,28.99
2025/3/27 14:10,36.14,31.86,37.12,28.81
2025/3/27 14:20,35.98,32,37.16,28.89
2025/3/27 14:30,35.86,31.98,37.16,28.89
2025/3/27 14:40,35.84,31.96,37.1,28.85
2025/3/27 14:50,35.82,31.96,37.1,28.83
2025/3/27 15:00,35.84,31.98,37.1,28.81
2025/3/27 15:10,35.92,32.1,37.1,28.81
2025/3/27 15:20,35.96,32.12,37.08,28.79
2025/3/27 15:30,35.98,32.08,37.08,28.75
2025/3/27 15:40,36.04,32.2,37.2,28.87
2025/3/27 15:50,36.06,32.16,36.96,28.91
2025/3/27 16:00,36.06,32.06,37.02,28.95
2025/3/27 16:10,36.06,32.08,36.9,28.95
2025/3/27 16:20,36.06,32.24,37.02,28.91
2025/3/27 16:30,36.08,32.16,36.94,28.91
2025/3/27 16:40,36.08,32.24,37.04,28.93
2025/3/27 16:50,36.06,32.22,37.04,28.91
2025/3/27 17:00,36.06,32.22,37,28.95
2025/3/27 17:10,36.1,32.22,36.94,28.95
2025/3/28 9:00,36.84,32.78,36.76,29.05
2025/3/28 9:10,36.84,32.78,36.76,29.07
2025/3/28 9:20,36.86,32.82,36.74,29.07
2025/3/28 9:30,36.92,32.8,36.82,29.11
2025/3/28 9:40,36.96,32.76,36.86,29.07
2025/3/28 9:50,36.96,32.94,36.9,29.13
2025/3/28 10:00,37,32.66,36.82,29.09
2025/3/28 10:10,37.02,32.94,36.96,29.15
2025/3/28 10:20,37.08,33.01,37,29.17
2025/3/28 10:30,37.27,33.07,37.02,29.17
2025/3/28 10:40,37.29,33.05,37.08,29.15
2025/3/28 10:50,37.33,33.15,37.1,29.19
2025/3/28 11:00,37.37,33.13,37.18,29.19
2025/3/28 11:10,37.43,33.17,37.12,29.19
2025/3/28 11:20,37.47,33.17,37.22,29.19
2025/3/28 11:30,37.41,33.19,37.3,28.77
2025/3/28 11:40,37.41,33.27,37.36,28.77
2025/3/28 11:50,37.33,33.41,37.42,28.81
2025/3/28 12:00,37.37,33.55,37.44,28.85
2025/3/28 12:10,37.37,33.41,37.4,28.83
2025/3/28 12:20,37.37,33.61,37.54,28.89
2025/3/28 12:30,37.52,33.79,37.56,28.95
2025/3/28 12:40,37.54,33.73,37.5,28.93
2025/3/28 12:50,37.52,33.67,37.58,28.99
2025/3/28 13:00,37.45,33.67,37.56,28.99
2025/3/28 13:10,37.41,33.57,37.52,29.07
2025/3/28 13:20,37.39,33.47,37.46,29.07
2025/3/28 13:30,37.39,33.69,37.58,29.15
2025/3/28 13:40,37.39,33.73,37.64,29.25
2025/3/28 13:50,37.41,33.69,37.62,29.25
2025/3/28 14:00,37.43,33.79,37.7,29.3
2025/3/28 14:10,37.41,33.51,37.6,29.36
2025/3/28 14:20,37.21,33.81,37.6,29.38
2025/3/28 14:30,37.15,33.83,37.66,29.42
2025/3/28 14:40,37.15,33.77,37.6,29.38
2025/3/28 14:50,37.15,33.77,37.6,29.38
2025/3/28 15:00,37.15,33.77,37.6,29.34
2025/3/28 15:10,37.13,33.51,37.54,29.3
2025/3/28 15:20,37.08,33.61,37.5,29.26
2025/3/28 15:30,37.06,33.61,37.48,29.25
2025/3/28 15:40,37.06,33.59,37.52,29.26
2025/3/28 15:50,37.08,33.63,37.52,29.26
2025/3/28 16:00,37.04,33.55,37.48,29.23
2025/3/28 16:10,37.04,33.55,37.46,29.23
2025/3/28 16:20,37.04,33.51,37.52,29.23
2025/3/28 16:30,37.02,33.51,37.52,29.26
2025/3/28 16:40,37.02,33.53,37.5,29.26
2025/3/28 16:50,37.02,33.55,37.52,29.25
2025/3/28 17:00,36.98,33.53,37.48,29.23
2025/3/28 17:10,36.98,33.47,37.48,29.21
2025/3/28 17:20,36.96,33.45,37.46,29.13
2025/3/28 17:30,36.96,33.45,37.46,29.19
2025/3/28 17:40,36.94,33.37,37.44,29.17
2025/3/28 17:50,36.94,33.37,37.44,29.17
2025/3/28 18:00,36.92,33.33,37.34,29.15
2025/3/28 18:10,36.92,33.37,37.32,29.11
2025/3/28 18:20,36.9,33.23,37.3,29.11
2025/3/28 18:30,36.88,33.27,37.38,29.13
2025/3/28 18:40,36.88,33.27,37.34,29.09
2025/3/28 18:50,36.84,33.29,37.34,29.11
2025/3/28 19:00,36.84,33.27,37.34,29.09
2025/3/28 19:10,36.82,33.23,37.34,29.09
2025/3/28 19:20,36.8,33.09,37.28,29.07
2025/3/28 19:30,36.8,33.21,37.3,29.05
2025/3/28 19:40,36.76,33.09,37.28,29.03
2025/3/28 19:50,36.73,33.15,37.28,29.01
2025/3/28 20:00,36.73,33.13,37.26,29.01
2025/3/28 20:10,36.71,33.09,37.26,28.93
2025/3/28 20:20,36.73,33.13,37.26,28.99
2025/3/28 20:30,36.73,33.11,37.24,28.99
2025/3/28 20:40,36.71,33.15,37.26,28.99
2025/3/28 20:50,36.71,33.01,37.24,28.95
2025/3/28 21:00,36.71,33.11,37.24,28.97
2025/3/28 21:10,36.69,33.09,37.2,28.95
2025/3/28 21:20,36.67,32.88,37.18,28.91
2025/3/28 21:30,36.67,32.98,37.14,28.93
2025/3/28 21:40,36.67,33.09,37.16,28.93
2025/3/28 21:50,36.67,33.09,37.18,28.95
2025/3/28 22:00,36.67,33.07,37.16,28.93
2025/3/28 22:10,36.65,32.94,37.16,28.91
2025/3/28 22:20,36.67,33.05,37.14,28.91
2025/3/28 22:30,36.53,33.05,37.18,28.93
2025/3/28 22:40,36.53,32.98,37.14,28.89
2025/3/28 22:50,36.53,33,37.14,28.89
2025/3/28 23:00,36.51,33.01,37.12,28.87
2025/3/28 23:10,36.51,32.9,37.04,28.85
2025/3/28 23:20,36.49,32.92,37.02,28.77
2025/3/28 23:30,36.47,32.94,37.04,28.81
2025/3/28 23:40,36.45,32.94,37.04,28.77
2025/3/28 23:50,36.45,32.9,37.02,28.75
2025/3/29 0:00,36.39,32.82,36.94,28.71
2025/3/29 0:10,36.36,32.8,36.9,28.67
2025/3/29 0:20,36.32,32.74,36.88,28.63
2025/3/29 0:30,36.14,32.74,36.86,28.63
2025/3/29 0:40,36.14,32.66,36.88,28.63
2025/3/29 0:50,36.12,32.64,36.88,28.63
2025/3/29 1:00,36.1,32.6,36.86,28.63
2025/3/29 1:10,36.1,32.52,36.86,28.61
2025/3/29 1:20,36.08,32.52,36.84,28.57
2025/3/29 1:30,36.08,32.52,36.86,28.59
2025/3/29 1:40,36.06,32.5,36.82,28.59
2025/3/29 1:50,36.06,32.5,36.82,28.59
2025/3/29 2:00,36.06,32.48,36.82,28.57
2025/3/29 2:10,36.04,32.5,36.84,28.57
2025/3/29 2:20,36.04,32.48,36.78,28.57
2025/3/29 2:30,36.04,32.46,36.8,28.57
2025/3/29 2:40,36.04,32.46,36.8,28.55
2025/3/29 2:50,36.04,32.46,36.78,28.53
2025/3/29 3:00,36.02,32.46,36.8,28.53
2025/3/29 3:10,36.02,32.44,36.66,28.46
2025/3/29 3:20,36.02,32.44,36.78,28.51
2025/3/29 3:30,36,32.44,36.76,28.51
2025/3/29 3:40,36,32.44,36.76,28.51
2025/3/29 3:50,36,32.44,36.74,28.51
2025/3/29 4:00,36.02,32.44,36.74,28.5
2025/3/29 4:10,36,32.42,36.72,28.5
2025/3/29 4:20,36,32.42,36.74,28.5
2025/3/29 4:30,36,32.42,36.76,28.5
2025/3/29 4:40,35.98,32.42,36.74,28.5
2025/3/29 4:50,35.98,32.42,36.74,28.5
2025/3/29 5:00,35.98,32.42,36.74,28.5
2025/3/29 5:10,35.98,32.42,36.74,28.5
2025/3/29 5:20,35.96,32.4,36.72,28.48
2025/3/29 5:30,35.96,32.4,36.74,28.48
2025/3/29 5:40,35.94,32.38,36.72,28.48
2025/3/29 5:50,35.94,32.38,36.72,28.48
2025/3/29 6:00,35.94,32.38,36.7,28.48
2025/3/29 6:10,35.94,32.38,36.72,28.48
2025/3/29 6:20,35.94,32.4,36.74,28.5
2025/3/29 6:30,35.96,32.4,36.76,28.5
2025/3/29 6:40,35.96,32.42,36.76,28.51
2025/3/29 6:50,36,32.44,36.78,28.51
2025/3/29 7:00,36.02,32.48,36.78,28.53
2025/3/29 7:10,36.06,32.52,36.84,28.55
2025/3/29 7:20,36.08,32.54,36.86,28.59
2025/3/29 7:30,36.12,32.58,36.88,28.61
2025/3/29 7:40,36.14,32.6,36.9,28.63
2025/3/29 7:50,36.18,32.66,36.96,28.67
2025/3/29 8:00,36.24,32.7,37,28.65
2025/3/29 8:10,36.24,32.72,36.96,28.73
2025/3/29 8:20,36.26,32.76,37.02,28.77
2025/3/29 8:30,36.32,32.82,37.08,28.81
2025/3/29 8:40,36.32,32.68,37.12,28.85
2025/3/29 8:50,36.34,32.84,37.16,28.87
2025/3/29 9:00,36.34,32.6,37.12,28.85
2025/3/29 9:10,36.39,32.86,37.2,28.83
2025/3/29 9:20,36.41,32.96,37.16,28.87
2025/3/29 9:30,36.55,33.09,37.32,28.89
2025/3/29 9:40,36.71,33.17,37.32,28.85
2025/3/29 9:50,36.73,33.15,37.36,28.89
2025/3/29 10:00,36.76,33.19,37.44,29.01
2025/3/29 10:10,36.69,33.21,37.4,29.03
2025/3/29 10:20,36.78,33.29,37.46,29.05
2025/3/29 10:30,36.84,33.21,37.4,29.05
2025/3/29 10:40,36.78,33.21,37.46,29.09
2025/3/29 10:50,36.73,33.13,37.42,29.05
2025/3/29 11:00,36.67,33,37.34,29.05
2025/3/29 11:10,36.61,32.96,37.32,29.07
2025/3/29 11:20,36.65,33.01,37.3,29.07
2025/3/29 11:30,36.63,32.86,37.34,29.09
2025/3/29 11:40,36.63,32.88,37.22,29.07
2025/3/29 11:50,36.69,32.88,37.3,29.05
2025/3/29 12:00,36.69,33.05,37.36,29.09
2025/3/29 12:10,36.76,33.09,37.36,29.07
2025/3/29 12:20,36.8,33.15,37.38,29.07
2025/3/29 12:30,36.8,33.11,37.34,29.09
2025/3/29 12:40,36.73,33.13,37.36,29.11
2025/3/29 12:50,36.73,33.09,37.32,29.07
2025/3/29 13:00,36.73,33.13,37.3,29.11
2025/3/29 13:10,36.78,33.19,37.42,29.13
2025/3/29 13:20,36.82,33.21,37.48,29.17
2025/3/29 13:30,36.84,33.25,37.48,29.21
2025/3/29 13:40,36.86,33.31,37.56,29.23
2025/3/29 13:50,36.88,33.15,37.5,29.21
2025/3/29 14:00,36.86,33.25,37.54,29.25
2025/3/29 14:10,36.9,33.27,37.52,29.25
2025/3/29 14:20,36.9,33.25,37.48,29.23
2025/3/29 14:30,36.92,33.37,37.5,29.25
2025/3/29 14:40,36.88,33.37,37.52,29.25
2025/3/29 14:50,36.86,33.41,37.54,29.28
2025/3/29 15:00,36.88,33.37,37.56,29.25
2025/3/29 15:10,36.88,33.35,37.56,29.26
2025/3/29 15:20,36.86,33.35,37.5,29.23
2025/3/29 15:30,36.84,33.31,37.5,29.25
2025/3/29 15:40,36.8,33.29,37.38,29.23
2025/3/29 15:50,36.78,33.29,37.44,29.25
2025/3/29 16:00,36.76,33.29,37.52,29.26
2025/3/29 16:10,36.73,33.19,37.4,29.23
2025/3/29 16:20,36.76,33.17,37.44,29.23
2025/3/29 16:30,36.73,33.23,37.4,29.21
2025/3/29 16:40,36.73,33.23,37.4,29.21
2025/3/29 16:50,36.71,33.23,37.42,29.21
2025/3/29 17:00,36.69,33.19,37.34,29.21
2025/3/29 17:10,36.69,33.17,37.38,29.17
2025/3/29 17:20,36.69,33.19,37.38,29.17
2025/3/29 17:30,36.69,33.17,37.36,29.15
2025/3/29 17:40,36.65,33.15,37.34,29.13
2025/3/29 17:50,36.63,33.11,37.28,29.09
2025/3/29 18:00,36.63,33.09,37.28,29.11
2025/3/29 18:10,36.61,33.07,37.3,29.07
2025/3/29 18:20,36.61,33.05,37.22,29.07
2025/3/29 18:30,36.59,32.98,37.26,29.03
2025/3/29 18:40,36.57,33.05,37.24,29.05
2025/3/29 18:50,36.55,33.03,37.24,29.03
2025/3/29 19:00,36.53,32.98,37.2,28.99
2025/3/29 19:10,36.51,32.8,37.2,28.99
2025/3/29 19:20,36.51,32.98,37.14,28.97
2025/3/29 19:30,36.51,32.98,37.18,28.95
2025/3/29 19:40,36.49,32.96,37.18,28.95
2025/3/29 19:50,36.47,32.96,37.16,28.95
2025/3/29 20:00,36.47,32.96,37.16,28.93
2025/3/29 20:10,36.47,32.94,37.14,28.93
2025/3/29 20:20,36.47,32.88,37.16,28.89
2025/3/29 20:30,36.45,32.92,37.08,28.91
2025/3/29 20:40,36.45,32.92,37.1,28.91
2025/3/29 20:50,36.43,32.92,37.1,28.89
2025/3/29 21:00,36.43,32.88,37.1,28.87
2025/3/29 21:10,36.41,32.86,37.1,28.87
2025/3/29 21:20,36.41,32.7,37.06,28.87
2025/3/29 21:30,36.41,32.78,37.08,28.85
2025/3/29 21:40,36.39,32.74,37.06,28.85
2025/3/29 21:50,36.39,32.88,37.04,28.83
2025/3/29 22:00,36.41,32.88,37.1,28.85
2025/3/29 22:10,36.39,32.68,37,28.79
2025/3/29 22:20,36.39,32.76,37,28.81
2025/3/29 22:30,36.39,32.72,37.04,28.83
2025/3/29 22:40,36.39,32.84,37.06,28.83
2025/3/29 22:50,36.36,32.82,37,28.81
2025/3/29 23:00,36.34,32.78,37,28.77
2025/3/29 23:10,36.36,32.72,37.02,28.81
2025/3/31 14:40,37.56,34.07,38.36,30.76
2025/3/31 14:50,37.6,34.15,38.62,30.76
2025/3/31 15:00,37.6,34.11,38.92,30.74
2025/3/31 15:10,37.56,34.01,38.86,30.74
2025/3/31 15:20,37.56,34.01,38.92,30.78
2025/3/31 15:30,37.56,34.01,38.88,30.78
2025/3/31 15:40,37.56,34.01,38.9,30.78
2025/3/31 15:50,37.58,34.09,38.86,30.72
2025/3/31 16:00,37.58,34.09,39.03,30.8
2025/3/31 16:10,37.56,34.05,38.86,30.8
2025/3/31 16:20,37.58,34.09,38.82,30.72
2025/3/31 16:30,37.56,33.99,38.78,30.74
2025/3/31 16:40,37.56,33.99,38.76,30.72
2025/3/31 16:50,37.54,33.85,38.62,30.66
2025/3/31 17:00,37.52,33.91,38.62,30.54
2025/3/31 17:10,37.54,33.87,38.56,30.44
2025/3/31 17:20,37.47,33.85,38.46,30.38
2025/3/31 17:30,37.45,33.81,38.44,30.3
2025/3/31 17:40,37.43,33.73,38.36,30.26
2025/3/31 17:50,37.41,33.69,38.36,30.24
2025/3/31 18:00,37.39,33.63,38.32,30.18
2025/3/31 18:10,37.29,33.51,38.26,30.16
2025/3/31 18:20,37.27,33.45,38.22,30.12
2025/3/31 18:30,37.25,33.51,38.2,30.06
2025/3/31 18:40,37.23,33.39,38.1,30.04
2025/3/31 18:50,37.21,33.23,38.14,30.04
2025/3/31 19:00,37.17,33.41,38.06,29.96
2025/3/31 19:10,37.15,33.39,38.08,29.96
2025/3/31 19:20,37.13,33.39,38.04,29.92
2025/3/31 19:30,37.1,33.37,38.02,29.92
2025/3/31 19:40,37.08,33.33,38.02,29.9
2025/3/31 19:50,37.04,33.33,37.96,29.86
2025/3/31 20:00,37.04,33.29,37.9,29.82
2025/3/31 20:10,37.02,33.25,37.92,29.8
2025/3/31 20:20,37.02,33.29,37.9,29.8
2025/3/31 20:30,37,33.25,37.88,29.8
2025/3/31 20:40,36.98,33.25,37.88,29.78
2025/3/31 20:50,36.96,33.13,37.86,29.78
2025/3/31 21:00,36.96,33.21,37.84,29.76
2025/3/31 21:10,36.94,33.23,37.84,29.74
2025/3/31 21:20,36.94,33.19,37.82,29.74
2025/3/31 21:30,36.92,32.98,37.8,29.7
2025/3/31 21:40,36.92,33.17,37.8,29.72
2025/3/31 21:50,36.92,33.17,37.78,29.7
2025/3/31 22:00,36.9,33,37.78,29.7
2025/3/31 22:10,36.88,32.96,37.74,29.62
2025/3/31 22:20,36.88,33,37.72,29.66
2025/3/31 22:30,36.86,32.98,37.68,29.66
2025/3/31 22:40,36.86,33.01,37.66,29.64
2025/3/31 22:50,36.86,32.94,37.68,29.62
2025/3/31 23:00,36.86,32.84,37.74,29.64
2025/3/31 23:10,36.65,32.92,37.74,29.64
2025/3/31 23:20,36.63,32.88,37.7,29.62
2025/3/31 23:30,36.61,32.66,37.7,29.6
2025/3/31 23:40,36.61,32.84,37.68,29.58
2025/3/31 23:50,36.59,32.86,37.68,29.6
2025/4/1 0:00,36.61,32.86,37.68,29.58
2025/4/1 0:10,36.59,32.82,37.68,29.58
2025/4/1 0:20,36.59,32.8,37.64,29.58
2025/4/1 0:30,36.59,32.8,37.66,29.58
2025/4/1 0:40,36.59,32.8,37.66,29.58
2025/4/1 0:50,36.59,32.8,37.66,29.56
2025/4/1 1:00,36.55,32.78,37.66,29.56
2025/4/1 1:10,36.55,32.8,37.66,29.56
2025/4/1 1:20,36.53,32.78,37.64,29.54
2025/4/1 1:30,36.51,32.78,37.62,29.56
2025/4/1 1:40,36.51,32.76,37.62,29.54
2025/4/1 1:50,36.49,32.76,37.62,29.52
2025/4/1 2:00,36.49,32.74,37.6,29.52
2025/4/1 2:10,36.47,32.74,37.52,29.5
2025/4/1 2:20,36.45,32.72,37.58,29.48
2025/4/1 2:30,36.45,32.7,37.52,29.48
2025/4/1 2:40,36.43,32.68,37.54,29.46
2025/4/1 2:50,36.41,32.68,37.5,29.44
2025/4/1 3:00,36.41,32.66,37.5,29.42
2025/4/1 3:10,36.39,32.64,37.48,29.4
2025/4/1 3:20,36.39,32.64,37.48,29.4
2025/4/1 3:30,36.34,32.62,37.46,29.38
2025/4/1 3:40,36.34,32.6,37.46,29.38
2025/4/1 3:50,36.34,32.6,37.46,29.36
2025/4/1 4:10,36.32,32.6,37.44,29.36
2025/4/1 4:20,36.32,32.6,37.42,29.36
2025/4/1 4:30,36.3,32.58,37.4,29.34
2025/4/1 4:40,36.3,32.58,37.38,29.32
2025/4/1 4:50,36.3,32.56,37.36,29.32
2025/4/1 5:00,36.28,32.54,37.36,29.3
2025/4/1 5:20,36.24,32.52,37.32,29.28
2025/4/1 5:30,36.22,32.5,37.32,29.26
2025/4/1 5:40,36.22,32.48,37.3,29.26
2025/4/1 5:50,36.2,32.48,37.28,29.25
2025/4/1 6:00,36.2,32.48,37.24,29.23
2025/4/1 6:10,36.08,32.48,37.22,29.23
2025/4/1 6:20,36.08,32.48,37.22,29.23
2025/4/1 6:30,36.1,32.44,37.22,29.23
2025/4/1 6:40,36.08,32.44,37.22,29.23
2025/4/1 6:50,36.12,32.5,37.24,29.25
2025/4/1 7:00,36.14,32.26,37.24,29.25
2025/4/1 7:10,36.16,32.52,37.3,29.25
2025/4/1 7:20,36.18,32.56,37.32,29.23
2025/4/1 7:30,36.2,32.58,37.34,29.26
2025/4/1 9:20,37.78,33.69,38.24,29.84
2025/4/1 9:30,37.97,33.75,38.34,29.9
2025/4/1 10:40,38.5,34.21,38.58,30.26
2025/4/1 10:50,38.69,34.33,38.6,30.3
2025/4/1 11:00,38.73,34.37,38.64,30.34
2025/4/1 11:10,38.75,34.41,38.66,30.38
2025/4/1 11:20,38.83,34.56,38.78,30.42
2025/4/1 11:30,38.83,34.62,38.8,30.48
2025/4/1 11:40,38.79,34.58,38.82,30.5
2025/4/1 11:50,38.79,34.62,38.84,30.52
2025/4/1 12:00,38.83,34.62,38.84,30.54
2025/4/1 12:10,38.87,34.64,38.84,30.56
2025/4/1 12:20,38.91,34.76,38.84,30.56
2025/4/1 12:30,38.93,34.74,38.88,30.56
2025/4/1 12:40,38.95,34.9,38.96,30.62
2025/4/1 12:50,38.91,34.9,38.96,30.64
2025/4/1 13:00,38.81,34.92,38.98,30.68
2025/4/1 13:10,38.69,34.94,38.96,30.76
2025/4/1 13:20,38.63,34.92,38.96,30.82
2025/4/1 13:30,38.6,34.98,39.05,30.94
2025/4/1 13:40,38.56,34.86,39.01,31
2025/4/1 13:50,38.56,34.94,39.03,31.04
2025/4/1 14:00,38.56,34.96,39.09,31.04
2025/4/1 14:10,38.52,34.98,39.05,31.02
2025/4/1 14:20,38.52,34.9,39.07,31.04
2025/4/1 14:30,38.52,34.94,39.05,31
2025/4/1 14:40,38.36,34.96,39.07,31.16
2025/4/1 14:50,38.32,35,39.05,31.28
2025/4/1 15:00,38.34,34.9,39.01,31.24
2025/4/1 15:10,38.34,34.98,39.07,31.28
2025/4/1 15:20,38.28,34.96,39.07,31.34
2025/4/1 15:30,38.28,34.74,39.07,31.36
2025/4/1 15:40,38.28,34.98,39.09,31.38
2025/4/1 15:50,38.28,34.96,39.03,31.34
2025/4/1 16:00,38.28,34.94,39.05,31.34
2025/4/1 16:10,38.28,34.8,39.07,31.38
2025/4/1 16:20,38.26,34.76,39.01,31.3
2025/4/1 16:30,38.11,34.62,38.88,31.18
2025/4/1 16:40,38.09,34.7,38.9,31.24
2025/4/1 16:50,38.09,34.76,38.94,31.26
2025/4/1 17:00,38.09,34.7,38.94,31.24
2025/4/1 17:10,38.09,34.68,38.84,31.1
2025/4/1 17:20,38.09,34.64,38.76,31.04
2025/4/1 17:30,38.05,34.6,38.74,30.98
2025/4/1 17:40,38.03,34.56,38.68,30.98
2025/4/1 17:50,37.97,34.52,38.66,30.98
2025/4/1 18:00,37.95,34.27,38.66,30.92
2025/4/1 18:10,37.93,34.43,38.62,30.88
2025/4/1 18:20,37.91,34.39,38.6,30.88
2025/4/1 18:30,37.78,34.37,38.56,30.82
